Code_commune_INSEE,Nom_commune,Code_postal,num_departement
01053,BOURG EN BRESSE,1000,10
01053,BOURG EN BRESSE,1000,10
01344,ST DENIS LES BOURG,1000,10
01165,FRANCHELEINS,1090,10
01183,GUEREINS,1090,10
01169,GENOUILLEUX,1090,10
01225,LURCY,1090,10
01258,MONTCEAUX,1090,10
01263,MONTMERLE SUR SAONE,1090,10
01165,FRANCHELEINS,1090,10
01165,FRANCHELEINS,1090,10
01011,APREMONT,1100,11
01031,BELLIGNAT,1100,11
01283,OYONNAX,1100,11
01237,MARTIGNAT,1100,11
01283,OYONNAX,1100,11
01014,ARBENT,1100,11
01171,GEOVREISSET,1100,11
01181,GROISSIAT,1100,11
01283,OYONNAX,1100,11
01080,CHAMPDOR CORCELLES,1110,11
01185,PLATEAU D HAUTEVILLE,1110,11
01185,PLATEAU D HAUTEVILLE,1110,11
01012,ARANC,1110,11
01080,CHAMPDOR CORCELLES,1110,11
01121,CORLIER,1110,11
01311,PREMILLIEU,1110,11
01060,BRENOD,1110,11
01185,PLATEAU D HAUTEVILLE,1110,11
01185,PLATEAU D HAUTEVILLE,1110,11
01142,DAGNEUX,1120,11
01049,LA BOISSE,1120,11
01262,MONTLUEL,1120,11
01297,PIZAY,1120,11
01342,STE CROIX,1120,11
01262,MONTLUEL,1120,11
01262,MONTLUEL,1120,11
01276,NIEVROZ,1120,11
01418,THIL,1120,11
01298,PLAGNE,1130,11
01357,ST GERMAIN DE JOUX,1130,11
01035,BELLEYDOUX,1130,11
01087,CHARIX,1130,11
01152,ECHALLON,1130,11
01204,LE POIZAT LALLEYRIAT,1130,11
01204,LE POIZAT LALLEYRIAT,1130,11
01174,GIRON,1130,11
01269,NANTUA,1130,11
01274,LES NEYROLLES,1130,11
01348,ST DIDIER SUR CHALARONNE,1140,11
01252,MOGNENEINS,1140,11
01351,ST ETIENNE SUR CHALARONNE,1140,11
01188,ILLIAT,1140,11
01167,GARNERANS,1140,11
01420,THOISSEY,1140,11
01428,VALEINS,1140,11
01295,PEYZIEUX SUR SAONE,1140,11
01047,BLYES,1150,11
01386,ST SORLIN EN BUGEY,1150,11
01431,VAUX EN BUGEY,1150,11
01099,CHAZEY SUR AIN,1150,11
01202,LAGNIEU,1150,11
01213,LEYMENT,1150,11
01366,STE JULIE,1150,11
01390,ST VULBAS,1150,11
01396,SAULT BRENAZ,1150,11
01411,SOUCLIN,1150,11
01444,VILLEBOIS,1150,11
01151,DRUILLAT,1160,11
01273,NEUVILLE SUR AIN,1160,11
01304,PONT D AIN,1160,11
01374,ST MARTIN DU MONT,1160,11
01314,PRIAY,1160,11
01425,LA TRANCLIERE,1160,11
01430,VARAMBON,1160,11
01173,GEX,1170,11
01399,SEGNY,1170,11
01153,ECHENEVEX,1170,11
01071,CESSY,1170,11
01247,MIJOUX,1170,11
01103,CHEVRY,1170,11
01135,CROZET,1170,11
01436,VESANCY,1170,11
01057,BOZ,1190,11
01094,CHAVANNES SUR REYSSOUZE,1190,11
01305,PONT DE VAUX,1190,11
01050,BOISSEY,1190,11
01284,OZAN,1190,11
01016,ARBIGNY,1190,11
01102,CHEVROUX,1190,11
01352,ST ETIENNE SUR REYSSOUZE,1190,11
01175,GORREVOD,1190,11
01323,REYSSOUZE,1190,11
01337,ST BENIGNE,1190,11
01402,SERMOYER,1190,11
01033,VALSERHONE,1200,12
01044,BILLIAT,1200,12
01104,CHEZERY FORENS,1200,12
01114,CONFORT,1200,12
01257,MONTANGES,1200,12
01033,VALSERHONE,1200,12
01033,VALSERHONE,1200,12
01189,INJOUX GENISSIAT,1200,12
01033,VALSERHONE,1200,12
01209,LEAZ,1200,12
01189,INJOUX GENISSIAT,1200,12
01033,VALSERHONE,1200,12
01448,VILLES,1200,12
74109,ELOISE,1200,12
01160,FERNEY VOLTAIRE,1210,12
01435,VERSONNEX,1210,12
01281,ORNEX,1210,12
01143,DIVONNE LES BAINS,1220,12
01397,SAUVERNY,1220,12
01180,GRILLY,1220,12
01017,ARGIS,1230,12
01107,CLEYZIEU,1230,12
01384,ST RAMBERT EN BUGEY,1230,12
01421,TORCIEU,1230,12
01111,CONAND,1230,12
01155,EVOSGES,1230,12
01277,NIVOLLET MONTGRIFFON,1230,12
01076,CHALEY,1230,12
01013,ARANDAS,1230,12
01279,ONCIEU,1230,12
01416,TENAY,1230,12
01211,LENT,1240,12
01359,ST GERMAIN SUR RENON,1240,12
01335,ST ANDRE LE BOUCHOUX,1240,12
01085,LA CHAPELLE DU CHATELARD,1240,12
01145,DOMPIERRE SUR VEYLE,1240,12
01069,CERTINES,1240,12
01235,MARLIEUX,1240,12
01383,ST PAUL DE VARAX,1240,12
01197,JOURNANS,1250,12
01245,BOHAS MEYRIAT RIGNAT,1250,12
01072,CEYZERIAT,1250,12
01095,NIVIGNE ET SURAN,1250,12
01447,VILLEREVERSURE,1250,12
01125,CORVEISSIAT,1250,12
01184,HAUTECOURT ROMANECHE,1250,12
01184,HAUTECOURT ROMANECHE,1250,12
01195,JASSERON,1250,12
01245,BOHAS MEYRIAT RIGNAT,1250,12
01317,RAMASSE,1250,12
01095,NIVIGNE ET SURAN,1250,12
01106,CIZE,1250,12
01245,BOHAS MEYRIAT RIGNAT,1250,12
01254,MONTAGNAT,1250,12
01321,REVONNAS,1250,12
01408,SIMANDRE SUR SURAN,1250,12
01150,DROM,1250,12
01177,GRAND CORENT,1250,12
01309,POUILLAT,1250,12
01369,ST JUST,1250,12
01422,TOSSIAT,1250,12
01036,VALROMEY SUR SERAN,1260,12
01187,HAUT VALROMEY,1260,12
01453,ARVIERE EN VALROMEY,1260,12
01079,CHAMPAGNE EN VALROMEY,1260,12
01187,HAUT VALROMEY,1260,12
01187,HAUT VALROMEY,1260,12
01036,VALROMEY SUR SERAN,1260,12
01036,VALROMEY SUR SERAN,1260,12
01036,VALROMEY SUR SERAN,1260,12
01036,VALROMEY SUR SERAN,1260,12
01079,CHAMPAGNE EN VALROMEY,1260,12
01079,CHAMPAGNE EN VALROMEY,1260,12
01453,ARVIERE EN VALROMEY,1260,12
01036,VALROMEY SUR SERAN,1260,12
01036,VALROMEY SUR SERAN,1260,12
01187,HAUT VALROMEY,1260,12
01330,RUFFIEU,1260,12
01453,ARVIERE EN VALROMEY,1260,12
01108,COLIGNY,1270,12
01147,DOMSURE,1270,12
01432,VERJON,1270,12
01445,VILLEMOTIER,1270,12
01029,BEAUPONT,1270,12
01296,PIRAJOUX,1270,12
01391,SALAVRE,1270,12
01313,PREVESSIN MOENS,1280,12
01313,PREVESSIN MOENS,1280,12
01046,BIZIAT,1290,12
01179,GRIEGES,1290,12
01134,CROTTET,1290,12
01136,CRUZILLES LES MEPILLAT,1290,12
01306,PONT DE VEYLE,1290,12
01334,ST ANDRE D HUIRIAT,1290,12
01365,ST JEAN SUR VEYLE,1290,12
01042,BEY,1290,12
01123,CORMORANCHE SUR SAONE,1290,12
01203,LAIZ,1290,12
01015,ARBOYS EN BUGEY,1300,13
01058,BREGNIER CORDON,1300,13
01117,CONZIEU,1300,13
01227,MAGNIEU,1300,13
01234,MARIGNIEU,1300,13
01286,PARVES ET NATTAGES,1300,13
01286,PARVES ET NATTAGES,1300,13
01009,ANDERT ET CONDON,1300,13
01141,CUZIEU,1300,13
01310,PREMEYZEL,1300,13
01006,AMBLEON,1300,13
01015,ARBOYS EN BUGEY,1300,13
01034,BELLEY,1300,13
01098,CHAZEY BONS,1300,13
01110,COLOMIEU,1300,13
